CVE ID,Description,CVSS Score,References,Severity Encoded,Severity_LOW,Severity_MEDIUM,Severity_UNKNOWN
CVE-1999-0095,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",10.0,"http://www.osvdb.org/195, http://seclists.org/fulldisclosure/2019/Jun/16, http://www.securityfocus.com/bid/1, http://www.openwall.com/lists/oss-security/2019/06/06/1, http://www.openwall.com/lists/oss-security/2019/06/05/4",3,False,False,False
CVE-1999-0082,CWD ~root command in ftpd allows root access.,10.0,http://www.alw.nih.gov/Security/Docs/admin-guide-to-cracking.101.html,3,False,False,False
CVE-1999-1471,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,7.2,"http://www.securityfocus.com/bid/4, http://www.cert.org/advisories/CA-1989-01.html, http://www.iss.net/security_center/static/7152.php",3,False,False,False
CVE-1999-1122,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,4.6,"http://www.securityfocus.com/bid/3, https://exchange.xforce.ibmcloud.com/vulnerabilities/6695, http://www.cert.org/advisories/CA-1989-02.html, http://www.ciac.org/ciac/bulletins/ciac-08.shtml",2,False,True,False
CVE-1999-1467,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.",10.0,"https://exchange.xforce.ibmcloud.com/vulnerabilities/3165, http://www.securityfocus.com/bid/5, http://www.cert.org/advisories/CA-1989-07.html",3,False,False,False
CVE-1999-1506,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.",7.5,"http://www.cert.org/advisories/CA-90.01.sun.sendmail.vulnerability, http://www.securityfocus.com/bid/6",3,False,False,False
CVE-1999-0084,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,7.2,https://exchange.xforce.ibmcloud.com/vulnerabilities/78,3,False,False,False
CVE-2000-0388,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,7.5,"http://www.securityfocus.com/bid/1185, ftp://ftp.freebsd.org/pub/FreeBSD/CERT/advisories/FreeBSD-SA-00%3A17.libmytinfo.asc",3,False,False,False
CVE-1999-0209,The SunView (SunTools) selection_svc facility allows remote users to read files.,5.0,http://www.securityfocus.com/bid/8,2,False,True,False
CVE-1999-1198,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.",7.2,"http://www.iss.net/security_center/static/7141.php, http://www.cert.org/advisories/CA-1990-06.html, http://ciac.llnl.gov/ciac/bulletins/b-01.shtml, http://www.securityfocus.com/bid/11",3,False,False,False
CVE-1999-1391,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,7.2,"http://www.securityfocus.com/bid/10, http://www.cert.org/advisories/CA-1990-06.html, http://ciac.llnl.gov/ciac/bulletins/b-01.shtml, http://www.iss.net/security_center/static/7143.php",3,False,False,False
CVE-1999-1392,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.,7.2,"http://www.securityfocus.com/bid/9, http://www.cert.org/advisories/CA-1990-06.html, http://ciac.llnl.gov/ciac/bulletins/b-01.shtml, http://www.iss.net/security_center/static/7144.php",3,False,False,False
CVE-1999-1057,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.,4.6,"http://www.iss.net/security_center/static/7137.php, http://ciac.llnl.gov/ciac/bulletins/b-04.shtml, http://www.securityfocus.com/bid/12, http://www.cert.org/advisories/CA-1990-07.html",2,False,True,False
CVE-1999-1554,"/usr/sbin/Mail on SGI IRIX 3.3 and 3.3.1 does not properly set the group ID to the group ID of the user who started Mail, which allows local users to read the mail of other users.",2.1,"http://www.cert.org/advisories/CA-1990-08.html, http://www.iss.net/security_center/static/3164.php, http://www.securityfocus.com/bid/13",1,True,False,False
CVE-1999-1197,"TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.",7.2,"http://www.cert.org/advisories/CA-1990-12.html, http://www.securityfocus.com/bid/14, http://www.iss.net/security_center/static/7140.php",3,False,False,False
CVE-1999-1115,"Vulnerability in the /etc/suid_exec program in HP Apollo Domain/OS sr10.2 and sr10.3 beta, related to the Korn Shell (ksh).",7.2,"http://www.cert.org/advisories/CA-1990-04.html, http://www.securityfocus.com/bid/7, http://www.ciac.org/ciac/bulletins/a-30.shtml, http://www.iss.net/security_center/static/6721.php",3,False,False,False
CVE-1999-1258,"rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.",5.0,"https://exchange.xforce.ibmcloud.com/vulnerabilities/1782, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/102",2,False,True,False
CVE-1999-1438,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,7.2,"http://www.securityfocus.com/bid/15, http://www.cert.org/advisories/CA-91.01a.SunOS.mail.vulnerability, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/105",3,False,False,False
CVE-1999-1211,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.,7.2,"https://exchange.xforce.ibmcloud.com/vulnerabilities/574, http://www.cert.org/advisories/CA-1991-02.html",3,False,False,False
CVE-1999-1212,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.,7.2,"https://exchange.xforce.ibmcloud.com/vulnerabilities/574, http://www.cert.org/advisories/CA-1991-02.html",3,False,False,False
